City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
223,Gorgan,36.84,54.43,69.8,88,90,11.41,IR,overcast clouds,2020-08-24 06:21:28
224,Okhotsk,59.38,143.3,56.16,59,88,10.76,RU,overcast clouds,2020-08-24 06:21:28
225,San Patricio,19.22,-104.7,79.41,85,94,2.08,MX,light rain,2020-08-24 06:17:37
226,La Gomera,14.08,-91.05,74.95,92,94,3.74,GT,light rain,2020-08-24 06:21:29
227,Maroantsetra,-15.43,49.73,71.02,81,93,2.66,MG,light rain,2020-08-24 06:21:32
228,Nisia Floresta,-6.09,-35.21,69.8,94,20,5.82,BR,few clouds,2020-08-24 06:21:33
229,Coquimbo,-29.95,-71.34,53.6,62,93,12.53,CL,overcast clouds,2020-08-24 06:21:34
230,Miracema Do Tocantins,-9.56,-48.4,73.18,57,11,1.32,BR,few clouds,2020-08-24 06:21:34
231,Portalegre,39.29,-7.43,64.0,77,1,5.82,PT,clear sky,2020-08-24 06:21:35
232,Orapa,-21.28,25.37,60.91,40,0,7.78,BW,clear sky,2020-08-24 06:21:35
233,Kutum,14.2,24.67,74.32,64,99,8.79,SD,overcast clouds,2020-08-24 06:21:35
234,Laguna,38.42,-121.42,77.0,47,1,11.41,US,clear sky,2020-08-24 06:20:40
235,Marakkanam,12.2,79.95,85.03,70,100,4.68,IN,overcast clouds,2020-08-24 06:21:36
236,Bathsheba,13.22,-59.52,78.8,88,75,6.93,BB,shower rain,2020-08-24 06:21:36
237,Springfield,37.22,-93.3,75.0,78,1,3.36,US,clear sky,2020-08-24 06:21:28
238,Ostrovnoy,68.05,39.51,60.17,76,2,19.95,RU,clear sky,2020-08-24 06:21:37
239,Gwanda,-20.93,29.0,63.5,55,0,7.36,ZW,clear sky,2020-08-24 06:21:38
240,Husavik,66.04,-17.34,33.8,100,100,1.23,IS,overcast clouds,2020-08-24 06:21:38
241,Tenenkou,14.46,-4.92,78.31,72,33,9.06,ML,scattered clouds,2020-08-24 06:21:39
242,Mahebourg,-20.41,57.7,73.4,69,75,17.22,MU,shower rain,2020-08-24 06:21:39
243,Tarakan,3.3,117.63,84.18,67,2,6.51,ID,clear sky,2020-08-24 06:20:04
244,Henties Bay,-22.12,14.28,53.01,93,0,1.01,NA,clear sky,2020-08-24 06:21:40
245,Talcahuano,-36.72,-73.12,51.8,87,100,10.29,CL,light rain,2020-08-24 06:21:40
246,Bucerias,20.75,-105.33,82.99,83,75,8.05,MX,broken clouds,2020-08-24 06:17:59
247,Nguruka,-5.11,31.04,73.83,43,76,10.22,TZ,broken clouds,2020-08-24 06:21:41
248,Saint George,37.1,-113.58,77.0,64,1,12.75,US,moderate rain,2020-08-24 06:18:48
249,Grindavik,63.84,-22.43,46.4,100,4,5.82,IS,fog,2020-08-24 06:21:42
250,Boa Viagem,-5.13,-39.73,67.17,93,34,3.65,BR,scattered clouds,2020-08-24 06:21:42
251,Carnarvon,-24.87,113.63,69.8,60,0,19.46,AU,clear sky,2020-08-24 06:21:44
252,Trairi,-3.28,-39.27,75.11,78,34,10.42,BR,scattered clouds,2020-08-24 06:21:44
253,Mahajanga,-15.72,46.32,80.6,42,79,8.05,MG,broken clouds,2020-08-24 06:21:45
254,Yuncheng,35.02,110.99,86.16,46,87,13.51,CN,overcast clouds,2020-08-24 06:21:45
255,Tukrah,32.53,20.58,81.34,64,0,9.22,LY,clear sky,2020-08-24 06:16:54
256,Prince Rupert,54.32,-130.32,53.6,100,90,4.7,CA,light rain,2020-08-24 06:18:17
257,Ixtapa,20.7,-105.2,82.99,79,98,1.68,MX,light rain,2020-08-24 06:21:46
258,Rio Grande,-32.03,-52.1,57.0,93,0,3.0,BR,clear sky,2020-08-24 06:20:48
259,Tilichiki,60.47,166.1,51.96,57,62,13.58,RU,broken clouds,2020-08-24 06:21:46
260,Isangel,-19.55,169.27,77.0,94,19,8.05,VU,light rain,2020-08-24 06:17:27
261,Wuwei,37.93,102.64,85.32,14,0,7.47,CN,clear sky,2020-08-24 06:21:47
262,Meulaboh,4.14,96.13,86.18,69,23,8.7,ID,few clouds,2020-08-24 06:21:48
263,Muscle Shoals,34.74,-87.67,73.99,88,1,3.06,US,clear sky,2020-08-24 06:20:37
264,Shaowu,27.34,117.48,91.38,61,8,1.83,CN,moderate rain,2020-08-24 06:21:49
265,Piranshahr,36.7,45.14,66.56,54,26,7.02,IR,scattered clouds,2020-08-24 06:21:49
266,Kollam,8.88,76.6,86.0,74,40,4.7,IN,scattered clouds,2020-08-24 06:21:50
267,Kilindoni,-7.91,39.67,77.22,71,77,7.09,TZ,light rain,2020-08-24 06:21:50
268,San Andres,12.58,-81.7,78.8,94,40,4.03,CO,scattered clouds,2020-08-24 06:21:50
269,Qaanaaq,77.48,-69.36,36.27,89,100,4.18,GL,overcast clouds,2020-08-24 06:21:50
